time_sec	flow
76.625	-0.12493328
76.629	-0.12305104
76.633	-0.120227695
76.637	-0.124815635
76.641	-0.128109545
76.645	-0.125286192
76.649	-0.126462594
76.653	-0.127756625
76.657	-0.123403959
76.661	-0.118933655
76.665	-0.121874645
76.669	-0.113639876
76.673	-0.112934038
76.677	-0.115639746
76.681	-0.11516919
76.685	-0.116933785
76.689	-0.12599203
76.693	-0.125756755
76.697	-0.128344819
76.701	-0.130344704
76.705	-0.136461958
76.709	-0.134226799
76.713	-0.130344704
76.717	-0.137285441
76.721	-0.129756495
76.725	-0.126815513
76.729	-0.129168302
76.733	-0.126344949
76.737	-0.121404089
76.741	-0.123756878
76.745	-0.121521726
76.749	-0.118463099
76.753	-0.12305104
76.757	-0.12493328
76.761	-0.118463099
76.765	-0.126697868
76.769	-0.129168302
76.773	-0.130462334
76.777	-0.12787427
76.781	-0.140461713
76.785	-0.133168057
76.789	-0.134815007
76.793	-0.140108794
76.797	-0.130932897
76.801	-0.133168057
76.805	-0.132109299
76.809	-0.135403201
76.813	-0.129168302
76.817	-0.136932522
76.821	-0.135050282
76.825	-0.134226799
76.829	-0.134344444
76.833	-0.139520586
76.837	-0.132579848
76.841	-0.127521351
76.845	-0.139050037
76.849	-0.130227059
76.853	-0.131403461
76.857	-0.140344068
76.861	-0.129285946
76.865	-0.132344574
76.869	-0.137873635
76.873	-0.133050412
76.877	-0.131991655
76.881	-0.136344314
76.885	-0.137520716
76.889	-0.137520716
76.893	-0.138697118
76.897	-0.137873635
76.901	-0.135050282
76.905	-0.132344574
76.909	-0.134462088
76.913	-0.130579978
76.917	-0.127638981
76.921	-0.140696988
76.925	-0.129168302
76.929	-0.135403201
76.933	-0.13775599
76.937	-0.144579098
76.941	-0.136109039
76.945	-0.148108289
76.949	-0.138344198
76.953	-0.135991395
76.957	-0.136932522
76.961	-0.136932522
76.965	-0.136344314
76.969	-0.136226684
76.973	-0.139520586
76.977	-0.140344068
76.981	-0.143873259
76.985	-0.145990774
76.989	-0.141991019
76.993	-0.139991149
76.997	-0.139873505
77.001	-0.135403201
77.005	-0.133873895
77.009	-0.134579718
77.013	-0.135285556
77.017	-0.134932637
77.021	-0.135873765
77.025	-0.14363797
77.029	-0.136461958
77.033	-0.14363797
77.037	-0.138226554
77.041	-0.145402566
77.045	-0.140579343
77.049	-0.145167291
77.053	-0.145284936
77.057	-0.140461713
77.061	-0.144696727
77.065	-0.145873129
77.069	-0.13763836
77.073	-0.138344198
77.077	-0.132344574
77.081	-0.134815007
77.085	-0.131521091
77.089	-0.135991395
77.093	-0.132579848
77.097	-0.134344444
77.101	-0.143755615
77.105	-0.136344314
77.109	-0.139285311
77.113	-0.1416381
77.117	-0.141049907
77.121	-0.135991395
77.125	-0.137167796
77.129	-0.135285556
77.133	-0.127168432
77.137	-0.130462334
77.141	-0.124580361
77.145	-0.127050787
77.149	-0.127756625
77.153	-0.131168172
77.157	-0.130462334
77.161	-0.124109797
77.165	-0.138226554
77.169	-0.129638866
77.173	-0.133873895
77.177	-0.141285181
77.181	-0.134462088
77.185	-0.135873765
77.189	-0.136697233
77.193	-0.136461958
77.197	-0.130227059
77.201	-0.131285816
77.205	-0.136814877
77.209	-0.127168432
77.213	-0.131521091
77.217	-0.13575612
77.221	-0.130227059
77.225	-0.134697363
77.229	-0.133873895
77.233	-0.125756755
77.237	-0.125403836
77.241	-0.128580108
77.245	-0.129991785
77.249	-0.129285946
77.253	-0.130344704
77.257	-0.137873635
77.261	-0.126344949
77.265	-0.129050657
77.269	-0.131168172
77.273	-0.121404089
77.277	-0.123756878
77.281	-0.129638866
77.285	-0.126462594
77.289	-0.125050917
77.293	-0.129638866
77.297	-0.12493328
77.301	-0.119992413
77.305	-0.125286192
77.309	-0.120345332
77.313	-0.12305104
77.317	-0.126462594
77.321	-0.128815383
77.325	-0.130815253
77.329	-0.133638605
77.333	-0.138461828
77.337	-0.132344574
77.341	-0.132344574
77.345	-0.134579718
77.349	-0.126227319
77.353	-0.126933143
77.357	-0.12787427
77.361	-0.122933403
77.365	-0.11716906
77.369	-0.123403959
77.373	-0.119168937
77.377	-0.117404342
77.381	-0.125756755
77.385	-0.12305104
77.389	-0.121404089
77.393	-0.1258744
77.397	-0.127521351
77.401	-0.128227189
77.405	-0.128815383
77.409	-0.133638605
77.413	-0.128227189
77.417	-0.128344819
77.421	-0.131285816
77.425	-0.125286192
77.429	-0.117639624
77.433	-0.124815635
77.437	-0.120698251
77.441	-0.118933655
77.445	-0.122227564
77.449	-0.126227319
77.453	-0.119992413
77.457	-0.128344819
77.461	-0.126697868
77.465	-0.128344819
77.469	-0.122227564
77.473	-0.129991785
77.477	-0.125756755
77.481	-0.123639241
77.485	-0.128933027
77.489	-0.123756878
77.493	-0.122815765
77.497	-0.123286322
77.501	-0.123874523
77.505	-0.121874645
77.509	-0.121168807
77.513	-0.122815765
77.517	-0.118580736
77.521	-0.12011005
77.525	-0.127756625
77.529	-0.114345707
77.533	-0.1258744
77.537	-0.121404089
77.541	-0.124109797
77.545	-0.122933403
77.549	-0.123756878
77.553	-0.12011005
77.557	-0.120580614
77.561	-0.118933655
77.565	-0.122227564
77.569	-0.118698373
77.573	-0.123756878
77.577	-0.126697868
77.581	-0.119168937
77.585	-0.125050917
77.589	-0.121757008
77.593	-0.121992283
77.597	-0.114816271
77.601	-0.122345202
77.605	-0.107993171
77.609	-0.108228453
77.613	-0.1122282
77.617	-0.10834609
77.621	-0.109169565
77.625	-0.115522109
77.629	-0.115051545
77.633	-0.117286704
77.637	-0.120345332
77.641	-0.123286322
77.645	-0.117286704
77.649	-0.11516919
77.653	-0.114580989
77.657	-0.109404847
77.661	-0.107640252
77.665	-0.113051675
77.669	-0.106581494
77.673	-0.112110555
77.677	-0.111051798
77.681	-0.110463604
77.685	-0.107757889
77.689	-0.114933908
77.693	-0.105052181
77.697	-0.108110808
77.701	-0.108228453
77.705	-0.106110938
77.709	-0.107757889
77.713	-0.112463474
77.717	-0.113051675
77.721	-0.117639624
77.725	-0.115639746
77.729	-0.119286574
77.733	-0.119639494
77.737	-0.113639876
77.741	-0.123403959
77.745	-0.109051928
77.749	-0.112463474
77.753	-0.120698251
77.757	-0.108699009
77.761	-0.114933908
77.765	-0.118227817
77.769	-0.114345707
77.773	-0.116580866
77.777	-0.115404464
77.781	-0.119992413
77.785	-0.111757636
77.789	-0.112934038
77.793	-0.120462969
77.797	-0.106228575
77.801	-0.115286827
77.805	-0.11422807
77.809	-0.109522484
77.813	-0.112698756
77.817	-0.113286957
77.821	-0.114110433
77.825	-0.10834609
77.829	-0.116227947
77.833	-0.116933785
77.837	-0.109404847
77.841	-0.113404594
77.845	-0.112698756
77.849	-0.101640634
77.853	-0.09952312
77.857	-0.096817404
77.861	-0.087170959
77.865	-0.079171464
77.869	-0.083406493
77.873	-0.074465878
77.877	-0.077877432
77.881	-0.083641768
77.885	-0.081288978
77.889	-0.086935677
77.893	-0.094229333
77.897	-0.093994059
77.901	-0.099170201
77.905	-0.09952312
77.909	-0.098582
77.913	-0.09622921
77.917	-0.090229586
77.921	-0.097876161
77.925	-0.089641392
77.929	-0.091053069
77.933	-0.086935677
77.937	-0.086112201
77.941	-0.079406746
77.945	-0.077289231
77.949	-0.077877432
77.953	-0.073054202
77.957	-0.075759917
77.961	-0.080700777
77.965	-0.072348364
77.969	-0.075054079
77.973	-0.081641898
77.977	-0.07081905
77.981	-0.072701283
77.985	-0.066113465
77.989	-0.058819812
77.993	-0.054349504
77.997	-0.049996838
78.001	-0.043761939
78.005	-0.03458605
78.009	-0.036115363
78.013	-0.0311745
78.017	-0.021880969
78.021	-0.029174626
78.025	-0.020704573
78.029	-0.009528809
78.033	-0.004823225
78.037	0.012469799
78.041	0.025998356
78.045	0.033174373
78.049	0.044938333
78.053	0.055055343
78.057	0.058231611
78.061	0.069407374
78.065	0.070466131
78.069	0.079877302
78.073	0.082112454
78.077	0.085876919
78.081	0.095758654
78.085	0.086229838
78.089	0.09328822
78.093	0.089053191
78.097	0.087641515
78.101	0.081053697
78.105	0.081641898
78.109	0.08446525
78.113	0.073642403
78.117	0.082347736
78.121	0.088464998
78.125	0.078936182
78.129	0.09034723
78.133	0.091876544
78.137	0.08740624
78.141	0.092935301
78.145	0.093405858
78.149	0.086700402
78.153	0.086935677
78.157	0.081877172
78.161	0.081759535
78.165	0.071524888
78.169	0.075524636
78.173	0.078583263
78.177	0.064466514
78.181	0.081053697
78.185	0.079759665
78.189	0.072583646
78.193	0.087876797
78.197	0.085876919
78.201	0.089641392
78.205	0.085406363
78.209	0.094582252
78.213	0.087523878
78.217	0.085171081
78.221	0.091876544
78.225	0.083641768
78.229	0.080347858
78.233	0.081288978
78.237	0.077171594
78.241	0.065054707
78.245	0.074112959
78.249	0.067407504
78.253	0.069995575
78.257	0.071995445
78.261	0.072583646
78.265	0.071877807
78.269	0.077171594
78.273	0.087170959
78.277	0.080347858
78.281	0.081406616
78.285	0.087876797
78.289	0.081053697
78.293	0.072348364
78.297	0.071995445
78.301	0.067760423
78.305	0.060349125
78.309	0.064701788
78.313	0.062113721
78.317	0.055996459
78.321	0.065407626
78.325	0.064819433
78.329	0.061172601
78.333	0.06493707
78.337	0.064466514
78.341	0.060584404
78.345	0.057878692
78.349	0.059760928
78.353	0.060113847
78.357	0.052467272
78.361	0.06199608
78.365	0.066701666
78.369	0.058937449
78.373	0.066584028
78.377	0.070466131
78.381	0.0629372
78.385	0.068466261
78.389	0.072701283
78.393	0.0561141
78.397	0.064231232
78.401	0.059996206
78.405	0.056702297
78.409	0.051526155
78.413	0.055172984
78.417	0.05223199
78.421	0.051055595
78.425	0.071054332
78.429	0.059878565
78.433	0.062701918
78.437	0.064113595
78.441	0.062113721
78.445	0.052937828
78.449	0.050114479
78.453	0.057996333
78.457	0.044232499
78.461	0.056231737
78.465	0.059290368
78.469	0.060113847
78.473	0.059760928
78.477	0.068230979
78.481	0.058466893
78.485	0.059996206
78.489	0.064584151
78.493	0.057525773
78.497	0.054231863
78.501	0.05317311
78.505	0.056584656
78.509	0.049643919
78.513	0.05564354
78.517	0.064231232
78.521	0.055172984
78.525	0.058702171
78.529	0.061643161
78.533	0.049408641
78.537	0.049408641
78.541	0.052114353
78.545	0.048467524
78.549	0.047526408
78.553	0.050585035
78.557	0.053878944
78.561	0.046467651
78.565	0.052584909
78.569	0.050702676
78.573	0.045291252
78.577	0.053761307
78.581	0.057408135
78.585	0.054114226
78.589	0.066231109
78.593	0.068701535
78.597	0.060702045
78.601	0.059290368
78.605	0.058113974
78.609	0.051761433
78.613	0.047526408
