time_sec	pmask_cmH20
30.9252	3.995362759
30.9292	3.993056297
30.9332	4.003324032
30.9372	3.989336252
30.9412	3.984425545
30.9452	3.996255636
30.9492	3.980333328
30.9532	3.969172955
30.9572	3.983979225
30.9612	3.982119083
30.9652	3.969619513
30.9692	3.981672764
30.9732	3.980258942
30.9772	3.960467815
30.9812	3.969396114
30.9852	3.981821537
30.9892	3.96247673
30.9932	3.962179184
30.9972	3.973562717
31.0012	3.955929279
31.0052	3.950572252
31.0092	3.967982531
31.0132	3.956524611
31.0172	3.94551301
31.0212	3.95719409
31.0252	3.948861122
31.0292	3.931674004
31.0332	3.947149754
31.0372	3.946405649
31.0412	3.926912308
31.0452	3.931674004
31.0492	3.934575796
31.0532	3.909650803
31.0572	3.910915613
31.0612	3.922150373
31.0652	3.90146637
31.0692	3.894175053
31.0732	3.908609152
31.0772	3.895365477
31.0812	3.884204865
31.0852	3.899308681
31.0892	3.893951654
31.0932	3.875425339
31.0972	3.885693073
31.1012	3.884577036
31.1052	3.864041805
31.1092	3.873416424
31.1132	3.876690149
31.1172	3.85102129
31.1212	3.851616383
31.1252	3.859949589
31.1292	3.842092991
31.1332	3.839711905
31.1372	3.858163834
31.1412	3.843804121
31.1452	3.832569361
31.1492	3.849161148
31.1532	3.840679169
31.1572	3.827733278
31.1612	3.842018604
31.1652	3.840679169
31.1692	3.822301865
31.1732	3.83175087
31.1772	3.841572046
31.1812	3.826691628
31.1852	3.833834171
31.1892	3.850425959
31.1932	3.831825256
31.1972	3.830709219
31.2012	3.848417282
31.2052	3.834578276
31.2092	3.824236155
31.2132	3.839488745
31.2172	3.832271814
31.2212	3.822078466
31.2252	3.837926388
31.2292	3.838968039
31.2332	3.819474459
31.2372	3.830634832
31.2412	3.832941294
31.2452	3.813968658
31.2492	3.820441723
31.2532	3.831453323
31.2572	3.817837477
31.2612	3.818953753
31.2652	3.8357687
31.2692	3.822227478
31.2732	3.8158288
31.2772	3.834429502
31.2812	3.831230164
31.2852	3.822599411
31.2892	3.838893652
31.2932	3.836363792
31.2972	3.81753993
31.3012	3.826542854
31.3052	3.83152771
31.3092	3.81649828
31.3132	3.825649977
31.3172	3.837107897
31.3212	3.819176912
31.3252	3.821632147
31.3292	3.841348886
31.3332	3.833387852
31.3372	3.829816341
31.3412	3.841423273
31.3452	3.829295635
31.3492	3.815605402
31.3532	3.836438179
31.3572	3.835247755
31.3612	3.82222724
31.3652	3.831453323
31.3692	3.83725667
31.3732	3.825277805
31.3772	3.845887423
31.3812	3.868431568
31.3852	3.861363173
31.3892	3.861735344
31.3932	3.876318216
31.3972	3.861214399
31.4012	3.86247921
31.4052	3.885097742
31.4092	3.878996849
31.4132	3.864190578
31.4172	3.873193264
31.4212	3.87051487
31.4252	3.859428883
31.4292	3.875276566
31.4332	3.879443169
31.4372	3.853550911
31.4412	3.853997469
31.4452	3.859503269
31.4492	3.843432188
31.4532	3.845738649
31.4572	3.855708599
31.4612	3.831230164
31.4652	3.817912102
31.4692	3.82602191
31.4732	3.816944838
31.4772	3.806379557
31.4812	3.82029295
31.4852	3.814414978
31.4892	3.793954372
31.4932	3.807718754
31.4972	3.814266205
31.5012	3.802882671
31.5052	3.811439037
31.5092	3.822301865
31.5132	3.800278425
31.5172	3.799236774
31.5212	3.812480688
31.5252	3.8025105
