time_sec	pepi_cmH20
74.19316	11.47173691
74.19716	11.3261137
74.20116	11.2220974
74.20516	11.3053112
74.20916	11.24290085
74.21316	11.13888454
74.21716	11.24290085
74.22116	11.05567169
74.22516	10.95165634
74.22916	11.07647514
74.23316	11.01406574
74.23716	10.88924599
74.24116	10.84764004
74.24516	10.82683659
74.24916	10.70201683
74.25316	10.63960743
74.25716	10.74362373
74.26116	10.55639458
74.26516	10.34836197
74.26916	10.45237827
74.27316	10.36916542
74.27716	10.18193626
74.28116	10.26514912
74.28516	10.03631401
74.28916	9.953101158
74.29316	9.973903656
74.29716	9.869888306
74.30116	9.661855698
74.30516	9.703461647
74.30916	9.724265099
74.31316	9.433020592
74.31716	9.433020592
74.32116	9.45382309
74.32516	9.370610237
74.32916	9.100168228
74.33316	9.224987984
74.33716	9.079364777
74.34116	9.016955376
74.34516	8.954545975
74.34916	8.933742523
74.35316	8.892136574
74.35716	8.78812027
74.36116	8.850529671
74.36516	8.580087662
74.36916	8.55928421
74.37316	8.55928421
74.37716	8.392858505
74.38116	8.309645653
74.38516	8.413661957
74.38916	8.288842201
74.39316	8.184825897
74.39716	8.205629349
74.40116	8.122416496
74.40516	8.039203644
74.40916	8.018400192
74.41316	8.018400192
74.41716	7.810368061
74.42116	7.872777939
74.42516	7.789565086
74.42916	7.623139381
74.43316	7.560729504
74.43716	7.581532478
74.44116	7.4567132
74.44516	7.4567132
74.44916	7.477516651
74.45316	7.331893921
74.45716	7.248681068
74.46116	7.165468216
74.46516	6.957435608
74.46916	6.811813354
74.47316	6.728600502
74.47716	6.541371346
74.48116	6.312535763
74.48516	6.291732311
74.48916	6.374945641
74.49316	6.146110058
74.49716	6.08370018
74.50116	6.042093754
74.50516	6.08370018
74.50916	5.854864597
74.51316	6.187716484
74.51716	6.000487328
74.52116	6.146110058
74.52516	5.917274475
74.52916	6.166913033
74.53316	5.542816162
74.53716	5.813258171
74.54116	6.270929337
74.54516	6.104503632
74.54916	6.08370018
74.55316	6.021290302
74.55716	5.709241867
74.56116	6.187716484
74.56516	6.395748615
74.56916	5.626029015
74.57316	6.062896729
74.57716	5.750848293
74.58116	6.270929337
74.58516	6.021290302
74.58916	6.08370018
74.59316	5.834061623
74.59716	5.438799858
74.60116	7.435910225
74.60516	5.730045319
74.60916	5.834061623
74.61316	5.542816162
74.61716	5.563619614
74.62116	5.209964752
74.62516	5.522013187
74.62916	6.250125885
74.63316	5.60522604
74.63716	5.480406761
74.64116	5.480406761
74.64516	5.189161301
74.64916	5.001932144
74.65316	4.835506439
74.65716	5.646832466
74.66116	5.189161301
74.66516	5.126751423
74.66916	5.085144997
74.67316	5.251571178
74.67716	5.189161301
74.68116	5.230767727
74.68516	5.209964752
74.68916	4.939522743
74.69316	4.648277283
74.69716	4.814702988
74.70116	5.147554874
74.70516	5.04353857
74.70916	4.960325718
74.71316	4.752293587
74.71716	4.606670856
74.72116	3.73293519
74.72516	4.981129169
74.72916	4.56506443
74.73316	4.357032299
74.73716	3.753738403
74.74116	4.481851578
74.74516	4.606670856
74.74916	4.627474308
74.75316	4.148999691
74.75716	4.627474308
74.76116	4.461048126
74.76516	4.398638725
74.76916	3.899361134
74.77316	4.232212543
74.77716	3.608115911
74.78116	4.918719292
74.78516	4.253015995
74.78916	3.857754707
74.79316	4.024180412
74.79716	3.670525551
74.80116	4.211409569
74.80516	3.504099846
74.80916	3.836951494
74.81316	3.462493181
74.81716	3.296067476
74.82116	4.107393265
74.82516	4.440245152
74.82916	3.753738403
74.83316	3.462493181
74.83716	3.129641533
74.84116	3.192051411
74.84516	3.233657837
74.84916	3.524903059
74.85316	3.212854624
74.85716	3.025625467
74.86116	2.692773819
74.86516	3.067231894
74.86916	3.296067476
74.87316	3.233657837
74.87716	2.713577032
74.88116	2.526347876
74.88516	2.63036418
74.88916	3.192051411
74.89316	2.984019041
74.89716	2.63036418
74.90116	2.463938236
74.90516	2.21429944
74.90916	2.755183458
74.91316	2.984019041
74.91716	2.359922171
74.92116	2.318315744
74.92516	3.10883832
74.92916	2.609560966
74.93316	2.068676949
74.93716	2.151889801
74.94116	2.235102654
74.94516	2.942412615
74.94916	2.775986671
74.95316	2.63036418
74.95716	1.881447792
74.96116	2.609560966
74.96516	2.089480162
74.96916	2.463938236
74.97316	2.318315744
74.97716	1.7358253
74.98116	1.964660764
74.98516	2.027070522
74.98916	2.380725384
74.99316	1.590202689
74.99716	2.255905867
75.00116	2.027070522
75.00516	1.715021968
75.00916	1.985463977
75.01316	1.860644579
75.01716	2.21429944
75.02116	1.278154254
75.02516	2.297512531
75.02916	2.151889801
75.03316	1.278154254
75.03716	1.860644579
75.04116	2.027070522
75.04516	1.340563893
75.04916	1.028515458
75.05316	1.569399357
75.05716	2.110283375
75.06116	0.778876662
75.06516	1.673415542
75.06916	1.215744495
75.07316	1.611005902
75.07716	1.194941282
75.08116	1.028515458
75.08516	1.611005902
75.08916	0.758073449
75.09316	1.423776746
75.09716	0.882892847
75.10116	1.174138069
75.10516	1.38217032
75.10916	0.69566375
75.11316	1.215744495
75.11716	1.278154254
75.12116	0.633254111
75.12516	0.217189491
75.12916	1.174138069
75.13316	0.425221801
75.13716	0.674860537
75.14116	1.631809115
75.14516	0.342008859
75.14916	-0.115662172
75.15316	0.237992719
75.15716	1.652612329
75.16116	-0.1364654
75.16516	-0.1364654
75.16916	0.654057324
75.17316	0.258795947
75.17716	-0.115662172
75.18116	1.028515458
75.18516	-0.094858944
75.18916	0.071566887
75.19316	0.009157202
75.19716	0.133976579
