x0000,y0000
7.062354,-0.00119710083,
7.102913,0.01029506714,
7.145576,0.02418143677,
7.186486,0.03447650391,
7.22708,0.01484405029,
7.267474,0.01484405029,
7.307895,0.00119710083,
7.348344,-0.03854664673,
7.388793,-0.03399766357,
7.429254,-0.1510741248,
7.469844,-0.2183511914,
7.510287,-0.3438073584,
7.550734,-0.4065354419,
7.59113,-0.5329492896,
7.631552,-0.6598419775,
7.672027,-0.7189787585,
7.712378,-0.6081272217,
7.752941,-0.6967126831,
7.793348,-0.8461108667,
7.834012,-0.9459490759,
7.87426,-1.033098016,
7.914563,-1.057758293,
7.954969,-1.124077679,
7.996009,-1.125753621,
8.036437,-1.122162318,
8.076801,-1.151132158,
8.117233,-1.176031855,
8.157744,-1.063264957,
8.198219,-1.02352121,
8.238637,-1.005564697,
8.279081,-0.8961496814,
8.319675,-0.8441955054,
8.360203,-0.7783549597,
8.400822,-0.7065289099,
8.441439,-0.6090849023,
8.481861,-0.5674257935,
8.522061,-0.5149927771,
8.565141,-0.5130774158,
8.60591,-0.5252878442,
8.646352,-0.4199429712,
8.686902,-0.3866635681,
8.727274,-0.3897760303,
8.767784,-0.3500322827,
8.80826,-0.3586514087,
8.848776,-0.4371812231,
8.889194,-0.4015076184,
8.929578,-0.3284844678,
8.970082,-0.2499546533,
9.010504,-0.2703053674,
9.051165,-0.2518700146,
9.09151,-0.1747767212,
9.131998,-0.1757344019,
9.172292,-0.2051830823,
9.212545,-0.1623268726,
9.252971,-0.1441309399,
9.293446,-0.106781394,
9.334032,-0.09097966309,
9.374212,-0.05099649536,
9.414512,-0.03208230225,
9.454798,0.00359130249,
9.495094,-0.01628057129,
9.535588,0.05339069702,
9.578306,0.05746083984,
9.619498,0.09481038574,
9.659918,0.2319981409,
9.700387,0.3280056274,
9.740921,0.4146757275,
9.781429,0.5355829114,
9.821829,0.3912125513,
9.86232,0.4910507605,
9.902806,0.7331045483,
9.943365,0.7556100439,
9.983802,0.7893682874,
10.024324,0.9035717065,
10.064755,0.8911218579,
10.10509,1.039562361,
10.145583,1.183453881,
10.186161,1.161906066,
10.226869,1.048899747,
10.26745,1.154484041,
10.307921,1.071644663,
10.348451,1.120007537,
10.388803,1.278024846,
10.429154,0.9876081848,
10.46977,0.9737218152,
10.510337,0.8686163623,
10.550973,0.9069235889,
10.593913,0.8602366565,
10.634689,0.8303091357,
10.6751,0.7618349683,
10.715583,0.6950367419,
10.75596,0.6098031628,
10.79643,0.6390124231,
10.83783,0.4829104749,
10.878097,0.4113238452,
10.918606,0.4458003491,
10.958958,0.3921702319,
10.999322,0.421140072,
11.03959,0.3119644763,
11.079945,0.2873041992,
11.120456,0.3138798376,
11.160868,0.2214636536,
11.201296,0.2578555188,
11.241891,0.2398990063,
11.282394,0.175973822,
11.322799,0.1819593262,
11.363146,0.2099714856,
11.403783,0.1766920825,
11.4444,0.186029469,
11.484776,0.1460463013,
11.525136,0.1364694946,
11.565454,0.1063025537,
11.605661,0.1455674609,
11.646079,0.1074996545,
11.686532,0.131202251,
11.726952,0.08499415894,
11.767352,0.1091755957,
11.810032,0.108217915,
11.850909,0.09385270508,
11.891407,0.09552864624,
11.931794,0.04908113403,
11.971957,0.05817910034,
12.012386,0.05937620117,
12.053015,0.02873041992,
12.093478,0.09696516724,
12.133859,0.07996633545,
12.174256,0.09696516724,
12.21473,0.05770026001,
12.255203,0.02633621826,
12.295623,-0.04955997437,
